lemma	codlem	gen	codmorf	keep	throwLst
aspritudo	N3B	f	NcC	a3078	D1984
assestrix	N3B	f	NcC	a3152	D19H5
assiduo	V1		VmF	a3162	D1A1C,D1A1D
assolido	V1		VmF	a3187	D1A78
assolo	V1		VmF	a3188	D1A73,D1A72
assummo	V1		VmF	a3203	D1A86
asterias	N1	m	NcA	a3225	D1AB1
asto	V1		VmF	a3239	D1AA1
atramentale	N3B	n	NcC	a3304	D1B28
atritudo	N3B	f	NcC	a3316	D1B33
attermino	V1		VmF	a3345	D1B6F,D1B6G
attibernalis	N3B	m	NcC	a3353	D1B7C
attitulo	V1		VmF	a3365	D1B94,D1B95,D1B96,D1B97,D1B98
attono	V1		VmF	a3370	D1B9F
aucto	V1		VmF	a3416	D1BFE
augifico	V1		VmF	a3472	D1C89
augmento	V1		VmF	a3478	D1C8D
augusto	V1		VmF	a3491	D1C9H
auis	N3B	f	NcC	a3502	D1CCC
aurifex	N3B	m	NcC	a3551	D1D32
auris	N3B	f	NcC	a3569	D1D4D,D1D4E
auroro	V1		VmF	a3577	D1D5G
aurugino	V1		VmF	a3580	D1D66
autumno	V1		VmF	a3627	D1DCB,D1DCC
axedo	N3B	f	NcC	a3647	D1DF2
axioma	N3B	n	NcC	a3653	D1DFH
bacar	N3B	n	NcC	b0010	D1E75
baditis	N3B	f	NcC	b0035	D1EG7
baiulo	V1		VmF	b0046	D1F52,D1F51
ballo	V1		VmF	b0074	D1FEH,D1FF0,D1FF1
balneo	V1		VmF	b9075	D1G03,D1G02
bambalo	N3B	m	NcC	b9099	D1G32
barbarismus	N2	m	NcB	b0118	D1H1F
barbarizo	V1		VmF	b0119	D1H22
barrio	V4		VmL	b0146	D1HG3
beatitudo	N3B	f	NcC	b0206	D2165
bellis	N3B	f	NcC	b0238	D21D6,D21D7
benedico	V3		VmH	b9256	D21G2
benefacio	V5		VmM	b9257	D21H1
benefactum	N2	n	NcB	b9259	D21H4,D21H5
beneplaceo	V2		VmG	b9270	D220A
beneplacitum	N2	n	NcB	b9271	D220B,D220C
bex	N3B	f	NcC	b0293	D22FD
biber	N3B	f	NcC	b0299	D22HD
bidental	N3B	n	NcC	b0341	D2367
bolis	N3B	f	NcC	b0506	D25G2
bombilo	V1		VmF	b0514	D260B
brachiale	N3B	n	NcC	b9697	D2809
bracile	N3B	n	NcC	b0595	D2823
brigantes	N3B	m	NcC	b0634	D2911
bubino	V1		VmF	b0662	D2A0F
bubo	N3B	m	NcC	b0664	D2A0H
bucale	N3B	n	NcC	b0675	D2A1G
bucculare	N3B	n	NcC	b9680	D2A49
burdo	N3B	m	NcC	b0746	D2B0B,D2B0C,D2B0F,D2B0G
busto	V1		VmF	b0765	D2BC6
buteo	N3B	m	NcC	b0770	D2BE9
butio	V4		VmL	b0775	D2BFE
caballico	V1		VmF	c0005	D2C3H
cabo	N3B	m	NcC	c0010	D2C83
cacillo	V1		VmF	c0035	D2CC9
cado	V3		VmH	c0061	D2CF0
caecitudo	N3B	f	NcC	c0077	D2CHH
caius	N2	m	NcB	D2D48	D2D49
calcar	N3B	n	NcC	c0178	D2D9A,D2D9B,D2D99
calculo	N3B	m	NcC	c0210	D2DF7
calculo	V1		VmF	c0209	D2DF3
caligo	N3B	f	NcC	c0239	D2E3F
callis	N3B	2	NcC	c0263	D2E69
calx	N3B	f	NcC	c0302	D2EBC
cambio	V1		VmF	c0311	D2EFB
campso	V1		VmF	c0344	D2FA4,D2FA3
canale	N3B	n	NcC	c0363	D2FDC
cancero	V1		VmF	c0376	D2FH8
candido	V1		VmF	c0392	D2G26
candifico	V1		VmF	c0395	D2G2F,D2G2G
canon	N3B	m	NcC	c0429	D2GB2,D2GB3,D2GAG,D2GB0,D2GB1
canonizo	V1		VmF	c0432	D2GC9,D2GC6,D2GC7,D2GC8
cantamen	N3B	n	NcC	c0442	D2GDH
canthus	N2	m	NcB	c0456	D2GH3
cantrix	N3B	f	NcC	c0468	D2H0D
capello	V1		VmF	c0481	D2H70,D2H71
capillare	N3B	n	NcC	c0491	D2HB7
capis	N3B	f	NcC	c0502	D2HC7,D2HC8
capito	N3B	m	NcC	c0516	D2HHF,D2HHG,D3000
capitulare	N3B	n	NcC	c0517	D302B,D302E,D3010
capo	N3B	m	NcC	c0528	D3041,D3042
capparis	N3B	f	NcC	c0532	D3051
caprile	N3B	n	NcC	c0548	D3070
caput	N3B	n	NcC	c0592	D30DF
carbo	N3B	m	NcC	c0599	D310D,D310B,D310C
carcer	N3B	m	NcC	c0608	D312A
cardo	N3B	m	NcC	c0633	D314B,D314C
carnifex	N3B	m	NcC	c0670	D3201
carrago	N3B	f	NcC	c0704	D325A
carrico	V1		VmF	c0705	D329C,D329D
cartilago	N3B	f	NcC	c0718	D3311
cassidile	N3B	n	NcC	c0751	D33DD
castifico	V1		VmF	c0770	D3415
castor	N3B	m	NcC	c0783	D3428,D3429
catabolenses	N3B	m	NcC	c0802	D3467
cataplasma	N3B	n	NcC	c0835	D3495
catechesis	N3B	f	NcC	c0861	D34B7
cateno	V1		VmF	c0877	D34CG
cathedra	N1	f	NcA	c0885	D34F3
catillamen	N3B	n	NcC	c0895	D3502
catillo	N3B	m	NcC	c0899	D3507
cauamen	N3B	n	NcC	c0928	D354H
caudex	N3B	m	NcC	c0937	D358C
caudifico	V1		VmF	c0943	D358F
cauefacio	V5		VmM	c0948	D359B
cauerno	V1		VmF	c0954	D35A8
cauma	N3B	n	NcC	c0978	D35CH,D35D0
caupo	N3B	m	NcC	c0982	D35DB
cauterizo	V1		VmF	c1019	D35GC
celeuma	N3B	n	NcC	c1063	D3678
celsitudo	N3B	f	NcC	c1084	D36A4
celtis	N3B	f	NcC	c1092	D36A9
centesimo	V1		VmF	c1135	D36H5
cento	N3B	m	NcC	c1150	D3700,D3701
cercis	N3B	f	NcC	c1219	D377F
cernulo	V1		VmF	c1246	D37CH
certamen	N3B	n	NcC	c1264	D37E8
certifico	V1		VmF	c1269	D37EB
certitudo	N3B	f	NcC	c1273	D37F1
character	N3B	m	NcC	c1386	D38CB
charaxo	V1		VmF	c1390	D38D3
charta	N1	f	NcA	c1396	D3907,D3908,D3909
chartophylax	N3B	m	NcC	c1404	D3919
chartopola	N1	m	NcA	c1405	D391A
chartula	N1	f	NcA	c1407	D391E
chartus	N2	m	NcB	c1396	D3924
chlamys	N3B	f	NcC	c1463	D39G6
choenix	N3B	f	NcC	c1470	D39H0
choragus	N2	m	NcB	c1485	D3A08
chorda	N1	f	NcA	c1489	D3A0F
chorea	N1	f	NcA	c1493	D3A10
chorus	N2	m	NcB	c1506	D3A2E,D3A2F,D3A2G,D3A2H,D3A2D
chrisma	N3B	n	NcC	c1510	D3A3H
christianizo	V1		VmF	c1512	D3A4B
chroma	N3B	n	NcC	c1515	D3A51
cicuticen	N3B	m	NcC	c1601	D3AAC
ciniflo	N3B	m	NcC	c1653	D3B16
circito	V1		VmF	c1682	D3B5D
circo	V1		VmF	c1686	D3B4E,D3B67
circumdo	V1		VmF	c1734	D3B86
circumtermino	V1		VmF	c1900	D3B9A
claredo	N3B	f	NcC	c2029	D3C6H,D3C70
clarico	V1		VmF	c2031	D3C79
clarifico	V1		VmF	c2033	D3C7A
classis	N3B	f	NcC	c2051	D3CA1,D3CA2,D3CA0
clima	N3B	n	NcC	c2107	D3D39
clino	V1		VmF	c2117	D3D3E
clipeo	V1		VmF	c2121	D3D4D
clocito	V1		VmF	c2139	D3D71
cochlea	N1	f	NcA	c2252	D3E05,D3E06
cogitamen	N3B	n	NcC	c2298	D3EBF
cognomen	N3B	n	NcC	c2315	D3ECH
cohors	N3B	f	NcC	c2335	D3EF3
collare	N3B	n	NcC	c2379	D3F5C
collatero	V1		VmF	c2381	D3F67
collema	N3B	n	NcC	c2406	D3FA9
collibro	V1		VmF	c2413	D3FBB
colophon	N3B	m	NcC	c2498	D3FHG
combaiulo	V1		VmF	c2556	D3G59
comissor	V1		VmF	c2584	D3G9E
comma	N3B	n	NcC	c2596	D3GCG
commasculo	V1		VmF	c2618	D3GE3
commastico	V1		VmF	c2619	D3GE5
commater	N3B	f	NcC	c2620	D3GE6
commentariensis	N3B	m	NcC	c2649	D3H05,D3H06
commilito	N3B	m	NcC	c2672	D3H1F
commino	V1		VmF	c7677	D3H1G
commisero	N3B	m	NcC	c2688	D3H27
commoto	V1		VmF	c2731	D3H50
commulco	V1		VmF	c2736	D3H53
commune	N3B	n	NcC	c4577	D3H5F,D3H5G,D3H5H
compago	N3B	f	NcC	c7776	D3HA2
compendio	V1		VmF	c2813	D3HDF
compesco	V3		VmH	c2832	D3HEF
compleo	V2		VmG	c2856	D3HH4,D3HH3
complexo	V1		VmF	c4820	D3HHA
compulso	V1		VmF	c2922	D403A,D403B
concenturio	V1		VmF	c2977	D4084
concha	N1	f	NcA	c2998	D4099,D4095,D409A,D4096,D4097,D4098
conclaue	N3B	n	NcC	c3049	D40D1
concrepo	V1		VmF	c3081	D40F3
concurialis	N3B	m	NcC	c3111	D40G4
concursito	V1		VmF	c3118	D40GB
condulco	V1		VmF	c3193	D4174
confoedero	V1		VmF	c3291	D41F2
conforto	V1		VmF	c3305	D41F8
congyro	V1		VmF	c3402	D4233
consepelio	V4		VmL	c3512	D42G4
conserua	N1	f	NcA	c4629	D42GA,D42GB
consiliaris	N3B	m	NcC	c6530	D430F
consiliatrix	N3B	f	NcC	c3534	D4312
consipio	V5		VmM	c3541	D431D
consisto	V3		VmH	c3543	D431F
consto	V1		VmF	c3620	D4367
consuetudo	N3B	f	NcC	c3647	D4385,D4386,D4387,D4384
consul	N3B	m	NcC	c3648	D438A,D438B,D438C,D438D,D4389
consupplicatrix	N3B	f	NcC	c3663	D43A9
contamen	N3B	n	NcC	c3678	D43BB
contemporo	V1		VmF	c3705	D43CE
contento	V1		VmF	c3720	D43D5,D43D3,D43D4
contessero	V1		VmF	c3731	D43E2
continor	V1		VmF	c3752	D43FD
continuor	V1		VmF	c3752	D43H0,D43H1
contradico	V3		VmH	c3787	D4421
contrauenio	V4		VmL	c3805	D4465
conturmo	V1		VmF	c3849	D4484
conuador	V1		VmF	c3854	D448A
conuenio	V4		VmL	c3872	D44A4,D44A5
conuento	V1		VmF	c3878	D44A7
conuenusto	V1		VmF	c3879	D44C0
cooperio	V4		VmL	c3951	D44FF
coriago	N3B	f	NcC	c4029	D45H4
corpus	N3B	n	NcC	c4091	D46A6,D46A7
cothurnosus	N2/1	*	Af-	c4204	D47A4
cothurnus	N2	m	NcB	c4205	D47A5
coxigo	V1		VmF	c4226	D480C
crapulor	V1		VmF	c4238	D4845
crasis	N3B	f	NcC	c4241	D4848
crassedo	N3B	f	NcC	c4246	D4852
crater	N3B	m	NcC	c4264	D485E,D485F
creatrix	N3B	f	NcC	c4276	D4882
crepido	N3B	f	NcC	c4316	D48EE,D48EB,D48EC
crepis	N3B	f	NcC	c4318	D48EF
crepo	V1		VmF	c4324	D48DE
crinio	V4		VmL	c4359	D4930
crinis	N3B	m	NcC	c4360	D4931
crisis	N3B	f	NcC	c4366	D4948
crispio	V4		VmL	c4370	D4955
crocis	N3B	f	NcC	c4395	D498G
crotalisso	V1		VmF	c4414	D49D5
crotolo	V1		VmF	c4418	D49D9
crudito	V1		VmF	c4445	D49GD
crumino	V1		VmF	c4453	D49H7
crusma	N3B	n	NcC	c4461	D4A0H
cubile	N3B	n	NcC	c4487	D4A4B,D4A4C
cubo	V1		VmF	c4494	D4A32
cuculo	V1		VmF	c4504	D4A72
cudo	N3B	m	NcC	c4525	D4A8H
cuiusmodi	I		X--	c4532	D4AB3
culmen	N3B	n	NcC	c4556	D4AD8,D4AD9
culmino	V1		VmF	c4559	D4ADA
cultrix	N3B	f	NcC	c4576	D4AGG
cunio	V4		VmL	c4639	D4B4D
cuso	V1		VmF	c4743	D4C65
cutis	N3B	f	NcC	c4762	D4CBB
cyceon	N3B	m	NcC	c4775	D4CD0
cyclas	N3B	f	NcC	c4779	D4CD2
cynocauma	N3B	n	NcC	c4819	D4CF3
damalio	N3B	m	NcC	d0021	D4D33
damnifico	V1		VmF	d0035	D4D4B
dasia	N1	f	NcA	d0060	D4D8D
decachinno	V1		VmF	d0115	D4DH2
decachordus	N2/1	*	Af-	d0116	D4DH3
decarno	V1		VmF	d0135	D4E24
decepto	V1		VmF	d0171	D4E41
decermina	N3B	n	NcC	d0176	D4E46
decolo	V1		VmF	d0229	D4E84
deconcilio	V1		VmF	d0235	D4E8C
decoramen	N3B	n	NcC	d0241	D4E94
decubo	V1		VmF	d0260	D4EB8
dedamno	V1		VmF	d0296	D4EE1
defensatrix	N3B	f	NcC	d0352	D4F14
defiguro	V1		VmF	d0369	D4F45
deflammo	V1		VmF	d0381	D4F4E
defrico	V1		VmF	d0413	D4F6H
defrusto	V1		VmF	d0419	D4F7A
defugo	V1		VmF	d0426	D4F7D
defusto	V1		VmF	d0434	D4F80
degenio	V1		VmF	d0439	D4F8G
degrado	V1		VmF	d0447	D4F9D
deifico	V1		VmF	d0486	D4FCB
deiudico	V1		VmF	d0497	D4FE3
delauo	V1		VmF	d9510	D4FF8
deleo	V2		VmG	d0529	D4FG6
delico	V1		VmF	d0558	D4FHD
delitigo	V1		VmF	d0584	D4G15,D4G16
dementio	V4		VmL	d0620	D4G5C,D4G5B
demoror	V1		VmF	d0657	D4G78
denigro	V1		VmF	d0694	D4GA7
dentex	N3B	m	NcC	d0718	D4GC1
deoperio	V4		VmL	d0746	D4GE0
depetigo	N3B	f	NcC	d0783	D4GG8
depleo	V2		VmG	d0799	D4GH7
deplico	V1		VmF	d0802	D4GH8,D4GH9
depompo	V1		VmF	d0815	D4GHG
depraesento	V1		VmF	d0842	D4H20
depulso	V1		VmF	d0880	D4H3C
desanno	V1		VmF	d0929	D4H8D
descrobo	V1		VmF	d0942	D4HBF
desertitudo	N3B	f	NcC	d0954	D4HD0
deseruio	V4		VmL	d0957	D4HD2,D4HD3
desisto	V3		VmH	d0981	D4HFE
desma	N3B	n	NcC	d0984	D4HG2
despecto	V1		VmF	d0996	D4HH5,D4HH6
despectrix	N3B	f	NcC	d0998	D4HH9
despico	V1		VmF	d8009	D5006
despicor	V1		VmF	d8008	D5008
destico	V1		VmF	d1023	D502G
detento	V1		VmF	d1077	D505H
deterioro	V1		VmF	d1083	D5066
deuenio	V4		VmL	d1139	D509E
deuenusto	V1		VmF	d1140	D50A0
deuoluo	V3		VmH	d1176	D50CE
deus	N2	m	NcB	d1193	D50E3
dextrale	N3B	n	NcC	d1201	D50F7
diadema	N3B	n	NcC	d1236	D510C,D510D
diapsalma	N3B	n	NcC	d1293	D5134
diastema	N3B	n	NcC	d1304	D5142
dictaturio	V4		VmL	d1358	D5178
dicturio	V4		VmL	d1368	D5184
diffibulo	V1		VmF	d1388	D51CB
diffirmo	V1		VmF	d1397	D51DG
difio	V4		VmL	D51DB	D51DC
digladior	V1		VmF	d1436	D51G2
digma	N3B	n	NcC	d1437	D51G6,D51G7
dignoro	V1		VmF	d1443	D51H8
dimidio	V1		VmF	d1613	D5231
dioecesis	N3B	f	NcC	d1632	D5267,D5268
diplois	N3B	f	NcC	d1650	D5277
diploma	N3B	n	NcC	d1651	D5278
dipodia	N1	f	NcA	d1653	D527F
discarico	V1		VmF	d1693	D52D0
disco	V3		VmH	d1724	D52DE
disconuenio	V4		VmL	d1732	D52GC
discooperio	V4		VmL	d1733	D52GE
discordo	V1		VmF	d1741	D52H1
discorio	V1		VmF	d1744	D52H4
discrimen	N3B	n	NcC	d1758	D5303
disertitudo	N3B	f	NcC	d1789	D531H
disglutino	V1		VmF	d1791	D532C
dispensatrix	N3B	f	NcC	d1829	D5383
displano	V1		VmF	d1843	D5391
displico	V1		VmF	d1845	D5394
dispuluero	V1		VmF	d1855	D53AD
dissertitudo	N3B	f	NcC	d1892	D53CH
dissigillo	V1		VmF	d1899	D53D5
dissimilitudo	N3B	f	NcC	d1905	D53D9
distempero	V1		VmF	d1945	D53F8
diuinatrix	N3B	f	NcC	d2035	D543A
diurno	V1		VmF	d2053	D5467
dogma	N3B	n	NcC	d2099	D54C3,D54C4
dogmatizo	V1		VmF	d2102	D54C9
doma	N3B	n	NcC	d2131	D54FB,D54FC,D54FD
domina	N1	f	NcA	d0165	D5515,D5510,D5517,D5511,D5512,D550F,D5513,D550H
dominor	V1		VmF	d2151	D551F
draco	N3B	m	NcC	d2206	D55H9,D55H7,D55H8
drama	N3B	n	NcC	d2218	D560E,D560F
drenso	V1		VmF	d2224	D562D
dubo	V1		VmF	d2264	D5675
ducatrix	N3B	f	NcC	d2268	D569D
ductrix	N3B	f	NcC	d2288	D56C7
duellis	N3B	m	NcC	d2291	D56D5
dulcedo	N3B	f	NcC	d2297	D56F1
dulcifico	V1		VmF	d2302	D56FB
dulcoro	V1		VmF	d7315	D56G4
dumtaxat	I		X--	d2324	D56H2
duplo	V1		VmF	d2378	D5711,D5712
ebriamen	N3B	n	NcC	e0014	D5794
ecbasis	N3B	f	NcC	e0032	D579G
echenais	N3B	f	NcC	e0042	D57BF
ectroma	N3B	n	NcC	e0066	D57DG
edo	N3B	m	NcC	e0096	D57GG
edulco	V1		VmF	e0109	D57HG
effamen	N3B	n	NcC	e0116	D580D
effecundo	V1		VmF	e0121	D581D
efflicto	V1		VmF	e0156	D583D
effrutico	V1		VmF	e0180	D585C
effumo	V1		VmF	e0192	D5862
egurgito	V1		VmF	e0225	D58A7
eiulito	V1		VmF	e9236	D58C4
elauo	V1		VmF	e0269	D58D8
elephantus	N2	m	NcB	e0311	D58H9
elimpido	V1		VmF	e0326	D5918
elix	N3B	m	NcC	e0337	D5923
elongo	V1		VmF	e0358	D5938,D5939,D5937
emaneo	V2		VmG	e0400	D595H
emasculo	V1		VmF	e0408	D5968
ematuro	V1		VmF	e9409	D596C
embasis	N3B	f	NcC	e0417	D5971
emblema	N3B	n	NcC	e0420	D597A
emolo	V3		VmH	e0486	D59DH
emponema	N3B	n	NcC	e0511	D59GF
enecatrix	N3B	f	NcC	e0585	D5A5E
enema	N3B	n	NcC	e0588	D5A5H
energia	N1	f	NcA	e0581	D5A62
enthymesis	N3B	f	NcC	e0638	D5ACA
enundino	V1		VmF	e0647	D5ADH
epaphaeresis	N3B	f	NcC	e0680	D5AF5
epicitharisma	N3B	n	NcC	e0709	D5AH6
epidipnis	N3B	f	NcC	e0725	D5B02
epidixis	N3B	f	NcC	e0726	D5B03
epigramma	N3B	n	NcC	e0728	D5B08
epigroma	N3B	n	NcC	e0733	D5B0C
epithema	N3B	n	NcC	e0782	D5B56
era	N1	f	NcA	e0843	D5BC0,D5BC1,D5BBG,D5BBH
erctum	N2	n	NcB	e0852	D5BDB
eritudo	N3B	f	NcC	e0898	D5BH8
erratrix	N3B	f	NcC	e0924	D5C26
eruca	N1	f	NcA	e0930	D5C30
eructuo	V1		VmF	e0933	D5C31
erus	N2	m	NcB	e0843	D5C42
esco	V1		VmF	e0978	D5CF7
estrix	N3B	f	NcC	e0990	D5E1B
ethos	N3B	n	NcC	e1009	D5E40
exalapo	V1		VmF	e1200	D5EG1
examen	N3B	n	NcC	e1212	D5EH1,D5EH2
exanthema	N3B	n	NcC	e1230	D5F0F
exaperio	V4		VmL	e1231	D5F10
exapto	V1		VmF	e1232	D5F12
exarchus	N2	m	NcB	e1236	D5F1D
exauspico	V1		VmF	e1263	D5F39
exballisto	V1		VmF	e1264	D5F3C
excaldo	V1		VmF	e1273	D5F4G
excandefacio	V5		VmM	e1278	D5F54
excerebro	V1		VmF	e1299	D5F80
exclaro	V1		VmF	e1328	D5F9H,D5FA0
excodico	V1		VmF	e1333	D5FB1
excommunico	V1		VmF	e1355	D5FBF
excortico	V1		VmF	e1365	D5FD6,D5FD7
excubo	V1		VmF	e1384	D5FE5,D5FE6
exdorsuo	V1		VmF	e1411	D5FHE
exemplo	V1		VmF	e1427	D5G1E,D5G1A,D5G1B,D5G1C,D5G1D
exfibulo	V1		VmF	e1452	D5G65
exfolio	V1		VmF	e1453	D5G68
eximo	V3		VmH	e1497	D5GA5
exochas	N3B	f	NcC	e1518	D5GDH
exomologesis	N3B	f	NcC	e1528	D5GE9
expompo	V1		VmF	e1652	D5H6G
exprompto	V1		VmF	e1678	D5H8F
expumico	V1		VmF	e1694	D5H95
exsumptuo	V1		VmF	e1814	D5HCA
exsuppuro	V1		VmF	e1820	D5HCC
extimo	V1		VmF	e1862	D5HFF
extraneo	V1		VmF	e1879	D6006,D6007
extro	V1		VmF	e1888	D601G
extussio	V4		VmL	e1899	D6026
exungulo	V1		VmF	e1916	D6037
fabrio	V4		VmL	f0026	D6086,D6088
fabulo	N3B	m	NcC	f0031	D6090
facillo	V1		VmF	f9045	D60C4
falcito	V1		VmF	f0116	D6152
falco	N3B	m	NcC	f0118	D6156,D6157,D6155
falere	N3B	n	NcC	f0120	D6173
falx	N3B	f	NcC	f0146	D61D6
famen	N3B	n	NcC	f0152	D61DF
famigero	V1		VmF	f0161	D61EE
farcimen	N3B	n	NcC	f0189	D6210
farrago	N3B	f	NcC	f0208	D624E
febrio	V4		VmL	f0311	D631F
felio	V4		VmL	f0326	D6353
fellito	V1		VmF	f0337	D635A
