lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
abominamentum	N2	n	NcB	2	1	0	1	0	1	148(a0121),70661(D0152)	lemma/86956
abominatio	N3B	f	NcC	4	1	0	1	0	3	70665(D0156),70664(D0155),70663(D0154),149(a9958)	lemma/91141
abominosus	N2/1	*	Af-	2	1	0	1	0	1	151(a0123),70666(D0158)	lemma/86959
abonagium	N2	n	NcB	2	1	0	0	0	2	70668(D015A),70667(D0159)	lemma/26283
abono	V1		VmF	3	1	0	0	0	3	70671(D015E),70672(D015D),70673(D015C)	lemma/26285
aborior	V4		VmL	2	1	0	1	0	1	146940(D0169),153(a0125)	lemma/86961
abortio	V4		VmL	2	1	0	1	0	1	156(a0127),146941(D0173)	lemma/86963
abortiuus	N2/1	*	Af-	2	1	0	1	0	1	159(a0129),70691(D0174)	lemma/86966
aborto	V1		VmF	2	1	0	1	0	1	146942(D0170),160(a0130)	lemma/86968
abpatruus	N2	m	NcB	2	1	0	1	0	1	70697(D017E),164(a0132)	lemma/86970
abra	N1	f	NcA	5	1	0	1	0	4	70701(D0180),70700(D017H),70702(D0181),70699(D017G),165(a9132)	lemma/91083
abrenuntio	V1		VmF	2	1	0	1	0	1	70714(D018F),171(a0139)	lemma/86977
abrodo	V3		VmH	2	1	0	1	0	1	174(a0141),146944(D019D)	lemma/86979
abrogo	V1		VmF	2	1	0	1	0	1	70728(D019G),177(a0143)	lemma/86981
abscedo	V3		VmH	2	1	0	1	0	1	146946(D01B7),180(a0147)	lemma/86985
abscessio	N3B	f	NcC	2	1	0	1	0	1	70756(D01BA),181(a0148)	lemma/86986
abscido	V3		VmH	2	1	0	1	0	1	70760(D01BD),183(a0149)	lemma/86987
abscisio	N3B	f	NcC	2	1	0	1	0	1	70764(D01C2),185(a0151)	lemma/86989
absens	N3A	*	Af-	2	1	0	0	0	2	70783(D01D4),70782(D01D2)	lemma/26387
absento	V1		VmF	4	1	0	1	0	3	70781(D01DA),70780(D01D8),70779(D01D6),196(a0162)	lemma/87001
absida	N1	f	NcA	7	1	0	0	0	7	70797(D01E6),70791(D01E0),70792(D01E1),70793(D01E2),70794(D01E3),70796(D01E5),70795(D01E4)	lemma/89673
absidatus	N2/1	*	Af-	2	1	0	1	0	1	70799(D01E7),197(a0163)	lemma/87002
absigno	V1		VmF	2	1	0	1	0	1	152034(D01EB),198(a0164)	lemma/87003
absilio	V4		VmL	4	1	0	1	0	3	199(a0165),146948(D01ED),146950(D01EF),146949(D01EE)	lemma/87004
absisto	V3		VmH	2	1	0	1	0	1	204(a0169),146952(D01F0)	lemma/87008
abso	V1		VmF	4	1	0	0	0	4	70746(D01B1),70747(D01B2),70748(D01B3),70749(D01B4)	lemma/26359
absoluo	V3		VmH	5	1	0	1	0	4	70812(D01FA),70813(D01FD),70811(D01F9),70810(D01F8),209(a0178)	lemma/87018
absolutio	N3B	f	NcC	6	1	0	1	0	5	70820(D01G2),70819(D01G1),70818(D01G0),70817(D01FH),70821(D01G3),210(a0174)	lemma/87013
absolutorium	N2	n	NcB	2	1	0	1	0	1	213(a0177),70822(D01GC)	lemma/87017
absono	V1		VmF	2	1	0	1	0	1	215(a0179),70826(D01H0)	lemma/87019
absonus	N2/1	*	Af-	2	1	0	1	0	1	70824(D01H2),216(a0180)	lemma/87020
absorbeo	V2		VmG	2	1	0	1	0	1	217(a0181),146953(D01H3)	lemma/87021
absque	I		X--	2	1	0	1	0	1	219(a0183),70831(D01H9)	lemma/87023
abstantia	N1	f	NcA	2	1	0	1	0	1	70832(D01HC),220(a0186)	lemma/87026
abstemius	N2/1	*	Af-	2	1	0	1	0	1	70835(D01HF),221(a0185)	lemma/87025
abstergo	V3		VmH	3	1	0	1	0	2	224(a2302),152851(D0204),152852(D0205)	lemma/89375
absterreo	V2		VmG	2	1	0	1	0	1	146955(D0208),225(a0188)	lemma/87028
abstinax	N3A	*	Af-	2	1	0	1	0	1	70847(D020D),226(a0189)	lemma/87029
abstinentia	N1	f	NcA	3	1	0	1	0	2	70850(D020E),70851(D020F),227(a0190)	lemma/87030
abstineo	V2		VmG	3	1	0	1	0	2	228(a0191),70842(D020H),70841(D020G)	lemma/87031
absto	V1		VmF	2	1	0	1	0	1	70833(D01HD),229(a0192)	lemma/87032
abstollo	V3		VmH	2	1	0	1	0	1	146957(D0215),230(a0193)	lemma/87033
abstractio	N3B	f	NcC	2	1	0	1	0	1	231(a0194),70856(D0217)	lemma/87034
absum	VA		VaN	2	1	0	0	0	2	70785(D00C1),70784(D00C2)	lemma/87040
absum	VA		VmN	3	1	0	1	0	2	70497(D00C2),70498(D00C1),236(a0200)	lemma/87040
abundantia	N1	f	NcA	3	1	0	1	0	2	246(a0210),70878(D0238),70879(D0239)	lemma/87051
abundus	N2/1	*	Af-	2	1	0	1	0	1	249(a0213),70876(D023D)	lemma/87054
abusio	N3B	f	NcC	3	1	0	1	0	2	250(a0214),70886(D0240),70885(D023H)	lemma/87055
abusor	N3B	m	NcC	2	1	0	1	0	1	252(a0216),70888(D0242)	lemma/87057
abusus	N4	m	NcD	2	1	0	1	0	1	70884(D0243),253(a9986)	lemma/91168
abutor	V3		VmH	3	1	0	1	0	2	146960(D0247),146961(D0248),254(a0217)	lemma/87058
abyssus	N2	f	NcB	2	1	0	1	0	1	70894(D024G),255(a9217)	lemma/91105
acacia	N1	f	NcA	2	1	0	1	0	1	70904(D0251),256(a0218)	lemma/87059
acanthis	N3B	f	NcC	2	1	0	1	0	1	263(a0223),70921(D0262)	lemma/87065
acapito	V1		VmF	2	1	0	0	0	2	70924(D0268),70923(D0267)	lemma/26504
acaptis	N3B	m	NcC	2	1	0	0	0	2	70933(D0270),70932(D026H)	lemma/26511
acatus	N2	m	NcB	2	1	0	0	0	2	70946(D0281),70945(D0280)	lemma/26821
accanto	V1		VmF	2	1	0	1	0	1	279(a0238),70965(D028E)	lemma/87081
accasia	N1	f	NcA	2	1	0	0	0	2	70980(D0298),70979(D0297)	lemma/26549
acceia	N1	f	NcA	2	1	0	1	0	1	70995(D02AA),283(a0241)	lemma/87085
accendo	V3		VmH	2	1	0	1	0	1	288(a0245),71001(D02AD)	lemma/87089
accensi	N2	m	NcB	2	1	0	0	0	2	71004(D02B1),71005(D02B2)	lemma/26573
accensor	N3B	m	NcC	3	1	0	1	0	2	71008(D02B6),71007(D02B5),293(a0251)	lemma/87095
accentus	N4	m	NcD	2	1	0	1	0	1	71010(D02BB),299(a9987)	lemma/91169
accepta	N1	f	NcA	2	1	0	1	0	1	71017(D02BE),300(a0255)	lemma/87099
acceptabilis	N3A	*	Af-	2	1	0	1	0	1	301(a9256),71019(D02BG)	lemma/91116
acceptabulum	N2	n	NcB	3	1	0	0	0	3	71022(D02C1),71023(D02DG),71021(D02C0)	lemma/26584
acceptator	N3B	m	NcC	3	1	0	1	0	2	304(a0254),71025(D02C3),71026(D02C4)	lemma/87098
acceptilatio	N3B	f	NcC	2	1	0	1	0	1	71027(D02C5),305(a9051)	lemma/91079
acceptio	N3B	f	NcC	2	1	0	1	0	1	306(a0256),71028(D02C6)	lemma/87100
acceptor	N3B	m	NcC	3	1	0	1	0	2	309(a0259),71029(D02C7),71030(D02C8)	lemma/87103
acceptorium	N2	n	NcB	3	1	0	0	0	3	71033(D02CB),71032(D02CA),71031(D02C9)	lemma/26586
accessa	N1	f	NcA	3	1	0	1	0	2	71038(D02CH),71039(D02D0),43519(a0239)	lemma/87082
accessibilis	N3A	*	Af-	2	1	0	1	0	1	71042(D02D2),314(a0263)	lemma/87107
accessio	N3B	f	NcC	5	1	0	1	0	4	316(a0265),71046(D02D6),71044(D02D4),71043(D02D3),71045(D02D5)	lemma/87109
accessor	N3B	m	NcC	4	1	0	0	0	4	71051(D02DB),71050(D02DA),71049(D02D9),71048(D02D8)	lemma/26593
accessus	N4	m	NcD	2	1	0	1	0	1	71040(D02DF),318(a0239)	lemma/87083
acciarium	N2	n	NcB	2	1	0	0	0	2	71062(D02E7),71061(D02E6)	lemma/26602
accidentia	N1	f	NcA	4	1	0	1	0	3	71075(D02F2),71074(D02F1),71073(D02F0),321(a0267)	lemma/87111
accidia	N1	f	NcA	2	1	0	0	0	2	71077(D02F5),71078(D02F6)	lemma/87176
accingo	V3		VmH	2	1	0	1	0	1	71089(D02G3),326(a0272)	lemma/87116
accino	V3		VmH	2	1	0	1	0	1	146965(D02G1),327(a0236)	lemma/87079
accipio	V5		VmM	3	1	0	1	0	2	71016(D02GA),71015(D02G9),329(a0275)	lemma/87119
accipiter	N3B	m	NcC	2	1	0	1	0	1	71098(D02GD),330(a0276)	lemma/87120
accipitrina	N1	f	NcA	2	1	0	1	0	1	71100(D02GF),331(a0273)	lemma/87117
accito	V1		VmF	2	1	0	1	0	1	335(a0281),146966(D02H5)	lemma/87125
acclamatio	N3B	f	NcC	2	1	0	1	0	1	71108(D02HD),337(a0282)	lemma/87126
acclamo	V1		VmF	4	1	0	1	0	3	338(a0283),146969(D02HB),146970(D02HC),146968(D02HA)	lemma/87127
acclinatorium	N2	n	NcB	2	1	0	1	0	1	341(a0286),71114(D0300)	lemma/87130
acclinis	N3A	*	Af-	2	1	0	1	0	1	71113(D0301),342(a0287)	lemma/87131
accliuus	N2/1	*	Af-	2	1	0	1	0	1	346(a0289),71116(D0305)	lemma/87133
accolo	V3		VmH	2	1	0	1	0	1	350(a0294),71130(D030H)	lemma/87139
accommodo	V1		VmF	3	1	0	1	0	2	354(a0298),146972(D031C),146973(D031D)	lemma/87143
accordamentum	N2	n	NcB	3	1	0	0	0	3	71150(D0326),71149(D0325),71151(D0327)	lemma/26683
accorporo	V1		VmF	2	1	0	1	0	1	356(a0300),146974(D032F)	lemma/87145
accredo	V3		VmH	3	1	0	1	0	2	71161(D0337),71160(D0336),357(a0301)	lemma/87146
accubito	V1		VmF	2	1	0	1	0	1	365(a9311),71168(D0341)	lemma/91120
accubitor	N3B	m	NcC	2	1	0	1	0	1	71176(D0343),366(a0309)	lemma/87154
accubitus	N4	m	NcD	6	1	0	1	0	5	369(a9990),71174(D0348),71173(D0347),71172(D0346),71171(D0345),71170(D0344)	lemma/91173
accuro	V1		VmF	2	1	0	1	0	1	379(a0320),146976(D0357)	lemma/87165
accusatio	N3B	f	NcC	2	1	0	1	0	1	71196(D0361),383(a0323)	lemma/87168
accusatiuus	N2	m	NcB	2	1	0	1	0	1	384(a0324),71197(D0362)	lemma/87170
acedia	N1	f	NcA	2	1	0	1	0	1	393(a0330),71202(D0368)	lemma/87176
aceo	V2		VmG	3	1	0	1	0	2	396(a0333),70898(D0389),70897(D0388)	lemma/87179
acer	N3B	m	NcC	3	1	0	0	0	3	71230(D037C),71229(D037A),71231(D0484)	lemma/26759
acer	N3B	n	NcC	2	1	0	1	0	1	71220(D0483),399(a0335)	lemma/87182
acera	N1	f	NcA	4	1	0	0	0	4	71224(D037G),71223(D037E),71221(D037D),71222(D037F)	lemma/26761
acerba	N1	f	NcA	2	1	0	0	0	2	71238(D0383),71239(D0382)	lemma/26765
acerbo	V1		VmF	2	1	0	1	0	1	405(a0342),71237(D0384)	lemma/87190
acerium	N2	n	NcB	2	1	0	0	0	2	71225(D038F),71226(D038G)	lemma/26774
acerosus	N2/1	*	Af-	2	1	0	1	0	1	71249(D0393),408(a0345)	lemma/87193
acerra	N1	f	NcA	2	1	0	1	0	1	409(a0346),71251(D0394)	lemma/87194
aceruo	V1		VmF	2	1	0	1	0	1	146977(D0398),415(a0352)	lemma/87200
acetosus	N2/1	*	Af-	2	1	0	1	0	1	71263(D03A3),421(a0359)	lemma/87210
acha	N1	f	NcA	2	1	0	0	0	2	71270(D03A9),71269(D03AA)	lemma/26797
achachia	N1	f	NcA	2	1	0	0	0	2	71273(D03AB),71274(D03AC)	lemma/26798
acharis	N3A	*	Af-	2	1	0	1	0	1	71292(D03BB),424(a0363)	lemma/87214
achatum	N2	n	NcB	2	1	0	0	0	2	71299(D03C1),71298(D03C0)	lemma/26820
achatus	N2	m	NcB	3	1	0	0	0	3	71297(D03C4),71296(D03C3),71295(D03C2)	lemma/26821
achia	N1	f	NcA	3	1	0	0	0	3	71313(D03CG),71314(D03CH),71315(D03D0)	lemma/87226
achor	N3B	m	NcC	2	1	0	1	0	1	71332(D03DF),431(a0370)	lemma/87222
achta	N1	f	NcA	2	1	0	0	0	2	71336(D03E5),71337(D03E4)	lemma/87297
acia	N1	f	NcA	6	1	0	1	0	5	436(a0374),71341(D03EA),71342(D03EB),71343(D03EC),71344(D03ED),71345(D03EE)	lemma/87226
aciarium	N2	n	NcB	2	1	0	0	0	2	71351(D03F0),71352(D03F1)	lemma/26857
acidulus	N2/1	*	Af-	2	1	0	1	0	1	71361(D03F9),438(a0376)	lemma/87228
acieris	N3B	f	NcC	2	1	0	1	0	1	71363(D03FC),440(a0378)	lemma/87230
acies	N5	f	NcE	5	1	0	1	0	4	441(a0379),71346(D03FD),71347(D03FF),71348(D03FG),71349(D03FH)	lemma/87231
acinus	N2	m	NcB	2	1	0	1	0	1	449(a0385),71367(D03GA)	lemma/87238
acisco	V3		VmH	2	1	0	1	0	1	451(a0333),146978(D03GE)	lemma/87180
aciscularius	N2	m	NcB	2	1	0	1	0	1	71380(D03GH),452(a0388)	lemma/87242
acisculum	N2	n	NcB	2	1	0	1	0	1	453(a0387),71379(D03H0)	lemma/87241
acor	N3B	m	NcC	3	1	0	1	0	2	469(a0402),71429(D041F),71430(D041G)	lemma/87257
acora	N1	f	NcA	2	1	0	0	0	2	71427(D041H),71428(D0420)	lemma/87221
acordatus	N2/1	*	Af-	2	1	0	0	0	2	71435(D0423),71436(D0424)	lemma/26927
acquieto	V1		VmF	2	1	0	0	0	2	71452(D0439),71451(D0438)	lemma/26949
acquiro	V3		VmH	2	1	0	1	0	1	474(a0407),146980(D043D)	lemma/87264
acquisitio	N3B	f	NcC	2	1	0	1	0	1	71459(D043H),475(a0408)	lemma/87265
acquitamentum	N2	n	NcB	2	1	0	0	0	2	71466(D0443),71467(D0444)	lemma/26959
acquito	V1		VmF	2	1	0	0	0	2	71463(D0446),71464(D0447)	lemma/26961
acra	N1	f	NcA	2	1	0	0	0	2	71472(D044C),71471(D044B)	lemma/26965
acredo	N3B	f	NcC	2	1	0	1	0	1	71481(D0450),480(a0413)	lemma/87272
acredula	N1	f	NcA	3	1	0	1	0	2	481(a0414),71483(D0452),71482(D0451)	lemma/87273
acrimonia	N1	f	NcA	2	1	0	1	0	1	71494(D045E),484(a0417)	lemma/87276
acritudo	N3B	f	NcC	2	1	0	1	0	1	486(a0418),71503(D0467)	lemma/87277
acroama	N3B	n	NcC	2	1	0	1	0	1	489(a0422),71506(D046A)	lemma/87281
acroma	N3B	n	NcC	2	1	0	0	0	2	71516(D0471),71517(D0472)	lemma/87281
acrostichis	N3B	f	NcC	2	1	0	1	0	1	71523(D0479),502(a0434)	lemma/87295
acrotilia	N2	n	NcB	2	1	0	0	0	2	71525(D047D),71526(D047E)	lemma/27010
acta	N1	f	NcA	3	1	0	1	0	2	71539(D0489),71538(D0488),504(a0436)	lemma/87297
acte	N1	f	NcA	2	1	0	1	0	1	71537(D048H),507(a0439)	lemma/87300
actinosus	N2/1	*	Af-	2	1	0	1	0	1	509(a0442),71562(D049C)	lemma/87303
actio	N3B	f	NcC	5	1	0	1	0	4	71565(D049F),71566(D049H),71563(D049D),71564(D049E),510(a0441)	lemma/87302
actionaria	N1	f	NcA	2	1	0	0	0	2	71571(D04A3),71572(D04A4)	lemma/27042
actionarius	N2	m	NcB	2	1	0	1	0	1	71568(D04A6),511(a0443)	lemma/87304
actito	V1		VmF	2	1	0	1	0	1	71576(D04A9),513(a0445)	lemma/87306
actiuitas	N3B	f	NcC	2	1	0	1	0	1	514(a9446),71579(D04AB)	lemma/91122
actius	N2/1	*	Af-	2	1	0	0	1	1	44547(1487),71546(D04AC)	lemma/27047
actiuus	N2/1	*	Af-	2	1	0	1	0	1	71577(D04AE),516(a0447)	lemma/87308
actor	N3B	m	NcC	4	1	0	1	0	3	71582(D04B1),71581(D04B0),71583(D04B2),517(a0448)	lemma/87309
actualis	N3A	*	Af-	2	1	0	1	0	1	520(a0451),71588(D04B7)	lemma/87312
actuarii	N2	m	NcB	3	1	0	0	0	3	71593(D04C0),71594(D04C1),71595(D04BG)	lemma/27057
actuarius	N2	m	NcB	2	1	0	1	0	1	71590(D04BE),523(a0453)	lemma/87316
actuarius	N2/1	*	Af-	3	1	0	1	0	2	524(a0453),71591(D04BF),71592(D04BH)	lemma/87314
actum	N2	n	NcB	2	1	0	1	0	1	71534(D04C7),525(a9991)	lemma/91174
actus	N4	m	NcD	7	1	0	1	0	6	527(a9991),71545(D04CG),71543(D04CE),71540(D04CB),71541(D04CC),71542(D04CD),71544(D04CF)	lemma/91175
acuarius	N2	m	NcB	2	1	0	1	0	1	71608(D04D6),530(a8918)	lemma/91062
acucula	N1	f	NcA	3	1	0	1	0	2	71618(D04DF),71619(D04DG),531(a0458)	lemma/87321
acula	N1	f	NcA	3	1	0	1	0	2	71623(D04E3),71624(D04E4),532(a0456)	lemma/87319
aculeus	N2	m	NcB	3	1	0	1	0	2	71629(D04E7),71628(D04E6),534(a0460)	lemma/87323
acumino	V1		VmF	2	1	0	1	0	1	537(a0463),146984(D04EF)	lemma/87326
acupedium	N2	n	NcB	2	1	0	1	0	1	539(a0198),71637(D04F1)	lemma/87038
acupictus	N2/1	*	Af-	2	1	0	1	0	1	542(a0466),71638(D04F3)	lemma/87329
acustumo	V1		VmF	2	1	0	0	0	2	149369(D04FF),149368(D04FE)	lemma/27104
acuta	N1	f	NcA	3	1	0	0	0	3	71650(D04FH),71651(D04G0),71649(D04FG)	lemma/27105
acutela	N1	f	NcA	2	1	0	1	0	1	548(a0474),71654(D04G3)	lemma/87339
acutus	N2	m	NcB	2	1	0	0	0	2	71652(D04GD),71653(D04GE)	lemma/27115
ad	I		X--	4	1	0	1	1	2	71673(D04H9),71672(D04H8),44584(1580),553(a0479)	lemma/87344
adaequatio	N3B	f	NcC	2	1	0	1	0	1	71686(D04HD),558(a0481)	lemma/87346
adaeque	I		X--	2	1	0	1	0	1	559(a0482),71687(D04HE)	lemma/87347
adaeratio	N3B	f	NcC	2	1	0	1	0	1	71688(D04HH),561(a0484)	lemma/87349
adaero	V1		VmF	3	1	0	1	0	2	562(a0485),151556(D04HF),151557(D04HG)	lemma/87350
adamas	N3B	m	NcC	2	1	0	0	0	2	71703(D050H),71705(D0510)	lemma/87361
adamplio	V1		VmF	2	1	0	1	0	1	578(a0501),146985(D051E)	lemma/87366
adapto	V1		VmF	2	1	0	1	0	1	146986(D051G),582(a0505)	lemma/87370
adaquagium	N2	n	NcB	2	1	0	0	0	2	71719(D0521),71720(D0522)	lemma/27162
adaquo	V1		VmF	4	1	0	0	0	4	71726(D0527),71725(D0526),71724(D0525),71723(D0524)	lemma/87372
adasia	N1	f	NcA	2	1	0	1	0	1	71735(D052H),586(a9972)	lemma/91155
adaudio	V4		VmL	2	1	0	1	0	1	590(a0511),146987(D0537)	lemma/87377
adbibo	V3		VmH	2	1	0	1	0	1	146988(D053B),595(a0516)	lemma/87382
adcensatarius	N2/1	*	Af-	2	1	0	0	0	2	71749(D0545),71748(D0544)	lemma/27190
addecimo	V1		VmF	2	1	0	1	0	1	146996(D055G),601(a0522)	lemma/87388
addenso	V1		VmF	2	1	0	1	0	1	71765(D0564),605(a0526)	lemma/87392
addisco	V3		VmH	2	1	0	1	0	1	611(a0530),147000(D056D)	lemma/87396
additio	N3B	f	NcC	2	1	0	1	0	1	614(a0533),71771(D056F)	lemma/87399
addormio	V4		VmL	2	1	0	1	0	1	147001(D0571),618(a0537)	lemma/87404
adductio	N3B	f	NcC	2	1	0	1	0	1	623(a0543),71773(D0575)	lemma/87411
ademprum	N2	n	NcB	2	1	0	0	0	2	71784(D057H),71783(D057G)	lemma/27242
ademptio	N3B	f	NcC	2	1	0	1	0	1	71787(D0582),630(a0550)	lemma/87418
adeptus	N4	m	NcD	2	1	0	1	0	1	636(a0638),71793(D058C)	lemma/87509
adescatio	N3B	f	NcC	2	1	0	1	0	1	639(a0558),71798(D0590)	lemma/87426
adesco	V1		VmF	2	1	0	1	0	1	640(a0559),147005(D058H)	lemma/87427
adhaero	V3		VmH	3	1	0	0	0	3	71822(D05BH),71821(D05C1),71823(D05C0)	lemma/27294
adhibeo	V2		VmG	2	1	0	1	0	1	147007(D05CB),648(a0565)	lemma/87433
adhospito	V1		VmF	2	1	0	1	0	1	659(a0574),147008(D05CG)	lemma/87442
adibilis	N3A	*	Af-	2	1	0	1	0	1	71840(D05DC),666(a0581)	lemma/87449
adicio	V5		VmM	2	1	0	1	0	1	71842(D05DD),667(a0586)	lemma/87454
adiectamentum	N2	n	NcB	2	1	0	1	0	1	71847(D05DH),668(a0582)	lemma/87450
adiectus	N4	m	NcD	2	1	0	1	0	1	673(a9996),71846(D05E2)	lemma/91180
adigo	V3		VmH	2	1	0	1	0	1	150343(D05E5),674(a0585)	lemma/87453
adimpleo	V2		VmG	2	1	0	1	0	1	147009(D05EC),677(a0589)	lemma/87457
adinquiro	V3		VmH	2	1	0	1	0	1	685(a0597),147010(D05EF)	lemma/87465
adinuenio	V4		VmL	2	1	0	1	0	1	688(a0600),147011(D05EG)	lemma/87468
adinuentio	N3B	f	NcC	2	1	0	1	0	1	689(a0601),71852(D05EH)	lemma/87469
adiorno	V1		VmF	2	1	0	0	0	2	151183(D05F5),151182(D05F6)	lemma/27340
adipalis	N3A	*	Af-	2	1	0	1	0	1	71860(D05F9),693(a0604)	lemma/87472
adiudico	V1		VmF	2	1	0	1	0	1	709(a0617),150182(D05G9)	lemma/87487
adiunctio	N3B	f	NcC	2	1	0	1	0	1	712(a0620),71873(D05GB)	lemma/87490
adiungo	V3		VmH	2	1	0	1	0	1	151216(D05GF),716(a0623)	lemma/87493
